Time, Aircraft mass
 123.329434, 19493.390845
 123.331101, 19493.377442
 123.332767, 19493.364038
 123.334434, 19493.350634
 123.336101, 19493.337231
 123.337767, 19493.323827
 123.339434, 19493.310423
 123.341101, 19493.297020
 123.342767, 19493.283615
 123.344434, 19493.270209
 123.346101, 19493.256803
 123.347767, 19493.243398
 123.349434, 19493.229992
 123.351101, 19493.216586
 123.352767, 19493.203181
 123.354434, 19493.189775
 123.356101, 19493.176370
 123.357767, 19493.162964
 123.359434, 19493.149557
 123.361101, 19493.136149
 123.362767, 19493.122741
 123.364434, 19493.109334
 123.366101, 19493.095926
 123.367767, 19493.082518
 123.369434, 19493.069111
 123.371101, 19493.055703
 123.372767, 19493.042296
 123.374434, 19493.028888
 123.376101, 19493.015479
 123.377767, 19493.002069
 123.379434, 19492.988659
 123.381101, 19492.975250
 123.382767, 19492.961840
 123.384434, 19492.948430
 123.386101, 19492.935021
 123.387767, 19492.921611
 123.389434, 19492.908202
 123.391101, 19492.894792
 123.392767, 19492.881381
 123.394434, 19492.867969
 123.396101, 19492.854557
 123.397767, 19492.841146
 123.399434, 19492.827734
 123.401101, 19492.814323
 123.402767, 19492.800911
 123.404434, 19492.787499
 123.406101, 19492.774088
 123.407767, 19492.760676
 123.409434, 19492.747263
 123.411101, 19492.733849
 123.412767, 19492.720435
 123.414434, 19492.707022
 123.416101, 19492.693608
 123.417767, 19492.680195
 123.419434, 19492.666781
 123.421101, 19492.653367
 123.422767, 19492.639954
 123.424434, 19492.626540
 123.426101, 19492.613125
 123.427767, 19492.599709
 123.429434, 19492.586294
 123.431101, 19492.572878
 123.432767, 19492.559462
 123.434434, 19492.546047
 123.436101, 19492.532631
 123.437767, 19492.519216
 123.439434, 19492.505800
 123.441101, 19492.492384
 123.442767, 19492.478967
 123.444434, 19492.465549
 123.446101, 19492.452132
 123.447767, 19492.438714
 123.449434, 19492.425297
 123.451101, 19492.411879
 123.452767, 19492.398461
 123.454434, 19492.385044
 123.456101, 19492.371626
 123.457767, 19492.358209
 123.459434, 19492.344789
 123.461101, 19492.331370
 123.462767, 19492.317950
 123.464434, 19492.304530
 123.466101, 19492.291111
 123.467767, 19492.277691
 123.469434, 19492.264272
 123.471101, 19492.250852
 123.472767, 19492.237432
 123.474434, 19492.224013
 123.476101, 19492.210591
 123.477767, 19492.197170
 123.479434, 19492.183748
 123.481101, 19492.170327
 123.482767, 19492.156905
 123.484434, 19492.143484
 123.486101, 19492.130062
 123.487767, 19492.116640
